,GRID_SIZE,NTOT,PROT,REGION,STRAT,YEAR
0,200,68,0,DRY TORT,CONT_HR,1999
1,200,1188,0,DRY TORT,CONT_LR,1999
2,200,43,0,DRY TORT,ISOL_LR,1999
3,200,142,0,DRY TORT,ISOL_MR,1999
4,200,369,1,DRY TORT,CONT_HR,1999
5,200,1264,1,DRY TORT,CONT_LR,1999
6,200,59,1,DRY TORT,ISOL_HR,1999
7,200,23,1,DRY TORT,ISOL_LR,1999
8,200,227,1,DRY TORT,ISOL_MR,1999
9,200,128,2,DRY TORT,CONT_HR,1999
10,200,1850,2,DRY TORT,CONT_LR,1999
11,200,362,2,DRY TORT,CONT_MR,1999
12,200,124,2,DRY TORT,ISOL_HR,1999
13,200,694,2,DRY TORT,ISOL_LR,1999
14,200,832,2,DRY TORT,ISOL_MR,1999
15,200,91,2,DRY TORT,SPGR_HR,1999
16,200,313,2,DRY TORT,SPGR_LR,1999
17,200,68,0,DRY TORT,CONT_HR,2000
18,200,1188,0,DRY TORT,CONT_LR,2000
19,200,43,0,DRY TORT,ISOL_LR,2000
20,200,142,0,DRY TORT,ISOL_MR,2000
21,200,369,1,DRY TORT,CONT_HR,2000
22,200,1264,1,DRY TORT,CONT_LR,2000
23,200,59,1,DRY TORT,ISOL_HR,2000
24,200,23,1,DRY TORT,ISOL_LR,2000
25,200,227,1,DRY TORT,ISOL_MR,2000
26,200,128,2,DRY TORT,CONT_HR,2000
27,200,1850,2,DRY TORT,CONT_LR,2000
28,200,362,2,DRY TORT,CONT_MR,2000
29,200,124,2,DRY TORT,ISOL_HR,2000
30,200,694,2,DRY TORT,ISOL_LR,2000
31,200,832,2,DRY TORT,ISOL_MR,2000
32,200,91,2,DRY TORT,SPGR_HR,2000
33,200,313,2,DRY TORT,SPGR_LR,2000
34,200,68,0,DRY TORT,CONT_HR,2004
35,200,1188,0,DRY TORT,CONT_LR,2004
36,200,43,0,DRY TORT,ISOL_LR,2004
37,200,142,0,DRY TORT,ISOL_MR,2004
38,200,369,1,DRY TORT,CONT_HR,2004
39,200,1264,1,DRY TORT,CONT_LR,2004
40,200,59,1,DRY TORT,ISOL_HR,2004
41,200,23,1,DRY TORT,ISOL_LR,2004
42,200,227,1,DRY TORT,ISOL_MR,2004
43,200,128,2,DRY TORT,CONT_HR,2004
44,200,1850,2,DRY TORT,CONT_LR,2004
45,200,362,2,DRY TORT,CONT_MR,2004
46,200,124,2,DRY TORT,ISOL_HR,2004
47,200,694,2,DRY TORT,ISOL_LR,2004
48,200,832,2,DRY TORT,ISOL_MR,2004
49,200,91,2,DRY TORT,SPGR_HR,2004
50,200,313,2,DRY TORT,SPGR_LR,2004
51,200,68,0,DRY TORT,CONT_HR,2006
52,200,1188,0,DRY TORT,CONT_LR,2006
53,200,43,0,DRY TORT,ISOL_LR,2006
54,200,142,0,DRY TORT,ISOL_MR,2006
55,200,369,1,DRY TORT,CONT_HR,2006
56,200,1264,1,DRY TORT,CONT_LR,2006
57,200,59,1,DRY TORT,ISOL_HR,2006
58,200,23,1,DRY TORT,ISOL_LR,2006
59,200,227,1,DRY TORT,ISOL_MR,2006
60,200,128,2,DRY TORT,CONT_HR,2006
61,200,1850,2,DRY TORT,CONT_LR,2006
62,200,362,2,DRY TORT,CONT_MR,2006
63,200,124,2,DRY TORT,ISOL_HR,2006
64,200,694,2,DRY TORT,ISOL_LR,2006
65,200,832,2,DRY TORT,ISOL_MR,2006
66,200,91,2,DRY TORT,SPGR_HR,2006
67,200,313,2,DRY TORT,SPGR_LR,2006
68,200,68,0,DRY TORT,CONT_HR,2008
69,200,1188,0,DRY TORT,CONT_LR,2008
70,200,43,0,DRY TORT,ISOL_LR,2008
71,200,142,0,DRY TORT,ISOL_MR,2008
72,200,369,1,DRY TORT,CONT_HR,2008
73,200,1264,1,DRY TORT,CONT_LR,2008
74,200,59,1,DRY TORT,ISOL_HR,2008
75,200,23,1,DRY TORT,ISOL_LR,2008
